Leg Extensions,3,AMRAP
Leg Press,3,AMRAP
Smith Machine RDL,2,6-8
Seated Hamstring Curl,2,AMRAP
Machine Hack Squat,3,AMRAP
Adduction Machine,3,AMRAP
