Incline Machine Press,2,AMRAP
Wide Grip T-Bar Row,2,AMRAP
Single-Arm Machine Lat Pull down,2,AMRAP
Seated Cable Fly,2,AMRAP
Single-Arm Cable Row,2,AMRAP
Reverse Pec Dec,2,AMRAP
