Machine Chest Fly,3,AMRAP
Incline DB Bench press,2,AMRAP
Close Grip Lat Pulldown,3,10-15 To Failure
Cable Lat Pullover,3,10-12 To Failure
Single-Arm Lat Pull Down (JPG),3,AMRAP
Flat Smith Machine,2,6-10 To Failure
Cable Rear Delt Fly,3,AMRAP
